Expected: 2, 2, 3
17:12:22.648
17:16:58.680:   [0, 2, 2],0, 1
17:17:00.680:   [0, 3, 2],1, 0
17:17:00.784:   Medium
17:17:02.168:   High
17:17:02.680:   [0, 0, 0],2, 1
17:17:04.680:   [0, 0, 1],2, 0
17:17:06.680:   [1, 0, 1],0, 0
17:17:07.728:   Low
17:17:08.680:   [0, 0, 1],0, 1
17:17:10.680:   [0, 1, 1],1, 0
17:17:12.680:   [0, 1, 2],2, 0
17:17:14.680:   [1, 1, 2],0, 0
17:17:15.752:   Low
17:17:16.681:   [0, 1, 2],0, 1
17:17:18.681:   [1, 1, 2],0, 0
17:17:20.296:   High
17:17:20.681:   [1, 1, 0],2, 1
17:17:21.928:   Medium
17:17:22.681:   [1, 0, 0],1, 1
17:17:24.681:   [1, 0, 1],2, 0
17:17:26.681:   [1, 0, 2],2, 0
17:17:27.551:   Low
17:17:28.681:   [0, 0, 2],0, 1
17:17:29.543:   High
17:17:30.681:   [0, 0, 0],2, 1
17:17:32.682:   [0, 1, 0],1, 0
17:17:34.682:   [1, 1, 0],0, 0
17:17:36.682:   [1, 1, 1],2, 0
17:17:38.352:   Medium
17:17:38.682:   [1, 0, 1],1, 1
17:17:40.682:   [1, 1, 1],1, 0
17:17:42.248:   Low
17:17:42.682:   [0, 1, 1],0, 1
17:17:44.682:   [0, 1, 2],2, 0
17:17:45.791:   Medium
17:17:46.682:   [0, 0, 2],1, 1
17:17:48.682:   [0, 1, 2],1, 0
17:17:49.807:   Medium
17:17:50.683:   [0, 0, 2],1, 1
17:17:52.344:   High
17:17:52.683:   [0, 0, 0],2, 1
17:17:54.683:   [1, 0, 0],0, 0
17:17:56.683:   [1, 1, 0],1, 0
17:17:58.384:   Low
17:17:58.683:   [0, 1, 0],0, 1
17:18:00.683:   [0, 1, 1],2, 0
17:18:02.683:   [0, 1, 2],2, 0
17:18:04.683:   [1, 1, 2],0, 0
17:18:05.911:   High
17:18:06.683:   [1, 1, 0],2, 1
17:18:08.684:   [1, 1, 1],2, 0
17:18:10.684:   [1, 1, 2],2, 0
17:18:11.856:   Low
17:18:12.684:   [0, 1, 2],0, 1
17:18:13.840:   Medium
17:18:14.684:   [0, 0, 2],1, 1
17:18:16.684:   [1, 0, 2],0, 0
17:18:18.304:   High
17:18:18.684:   [1, 0, 0],2, 1
17:18:20.684:   [1, 1, 0],1, 0
17:18:22.684:   [1, 1, 1],2, 0
17:18:23.759:   Low
17:18:24.684:   [0, 1, 1],0, 1
17:18:26.685:   [1, 1, 1],0, 0
17:18:27.480:   Low
17:18:28.685:   [0, 1, 1],0, 1
17:18:30.685:   [0, 1, 2],2, 0
17:18:31.832:   Medium
17:18:32.685:   [0, 0, 2],1, 1
17:18:34.685:   [1, 0, 2],0, 0
17:18:35.688:   Low
17:18:36.685:   [0, 0, 2],0, 1
17:18:38.479:   High
17:18:38.685:   [0, 1, 0],1, -1
17:18:40.685:   [0, 1, 1],2, 0
17:18:42.686:   [0, 2, 1],1, 0
17:18:44.296:   Medium
17:18:44.686:   [0, 0, 1],1, -1
17:18:46.686:   [1, 0, 1],0, 0
17:18:48.686:   [1, 0, 2],2, 0
17:18:49.832:   High
17:18:50.686:   [1, 0, 0],2, 1
17:18:52.686:   [2, 0, 0],0, 0
17:18:53.296:   Low
17:18:54.686:   [0, 0, 1],2, 1
17:18:56.686:   [0, 0, 2],2, 0
17:18:57.671:   Medium
17:18:58.686:   [0, 0, 2],1, -1
17:19:00.687:   [0, 1, 2],1, 0
17:19:02.687:   [1, 1, 2],0, 0
17:19:04.120:   Medium
17:19:04.687:   [1, 0, 2],1, 1
17:19:05.800:   Low
17:19:06.687:   [0, 0, 2],0, 1
17:19:08.687:   [1, 0, 2],0, 0
17:19:09.944:   High
17:19:10.687:   [1, 0, 0],2, 1
17:19:12.687:   [1, 1, 0],1, 0
17:19:14.359:   Medium
17:19:14.687:   [1, 0, 0],1, 1
17:19:15.855:   Low
17:19:16.687:   [0, 0, 0],0, 1
17:19:16.726:   Low
