Expected: 2, 0, 3
13:36:07.382
13:41:41.418:   [1, 60, 1],0, 0
13:41:43.418:   [1, 61, 1],1, 0
13:41:44.431:   Low
13:41:45.418:   [0, 61, 1],0, 1
13:41:47.418:   [0, 61, 2],2, 0
13:41:48.311:   High
13:41:49.419:   [0, 61, 0],2, 1
13:41:51.419:   [1, 61, 0],0, 0
13:41:52.655:   Low
13:41:53.419:   [0, 61, 0],0, 1
13:41:55.419:   [0, 62, 0],1, 0
13:41:57.419:   [0, 63, 0],1, 0
13:41:59.419:   [0, 64, 0],1, 0
13:42:01.419:   [1, 64, 0],0, 0
13:42:03.419:   [1, 64, 1],2, 0
13:42:05.420:   [2, 64, 1],0, 0
13:42:06.183:   Low
13:42:07.420:   [0, 65, 1],1, 1
13:42:09.420:   [1, 65, 1],0, 0
13:42:10.535:   Low
13:42:11.420:   [0, 65, 1],0, 1
13:42:13.420:   [1, 65, 1],0, 0
13:42:15.420:   [1, 65, 2],2, 0
13:42:16.575:   Low
13:42:17.420:   [0, 65, 2],0, 1
13:42:19.420:   [0, 66, 2],1, 0
13:42:21.420:   [1, 66, 2],0, 0
13:42:22.366:   Low
13:42:23.421:   [0, 66, 2],0, 1
13:42:25.421:   [1, 66, 2],0, 0
13:42:26.351:   Low
13:42:27.421:   [0, 66, 2],0, 1
13:42:29.421:   [0, 67, 2],1, 0
13:42:31.421:   [0, 68, 2],1, 0
13:42:33.421:   [0, 69, 2],1, 0
13:42:34.551:   High
13:42:35.421:   [0, 69, 0],2, 1
13:42:37.421:   [0, 69, 1],2, 0
13:42:39.421:   [0, 69, 2],2, 0
13:42:40.991:   High
13:42:41.050:   Low
13:42:41.422:   [0, 69, 0],2, -1
13:42:43.422:   [0, 69, 1],2, 0
13:42:45.422:   [1, 69, 1],0, 0
13:42:46.615:   Low
13:42:47.422:   [0, 69, 1],0, 1
13:42:49.422:   [0, 70, 1],1, 0
13:42:51.422:   [1, 70, 1],0, 0
13:42:53.422:   [1, 70, 2],2, 0
13:42:55.422:   [1, 71, 2],1, 0
13:42:56.902:   Low
13:42:57.422:   [0, 71, 2],0, 1
13:42:59.423:   [0, 71, 3],2, 0
13:43:01.423:   [0, 72, 3],1, 0
13:43:03.423:   [0, 73, 3],1, 0
13:43:04.815:   High
