15:04:05.699
15:11:15.743:   [78, 2, 79],1, 0
15:11:17.743:   [78, 2, 80],2, 0
15:11:19.743:   [78, 3, 80],1, 0
15:11:21.743:   [78, 3, 81],2, 0
15:11:23.743:   [78, 4, 81],1, 0
15:11:25.743:   [78, 4, 82],2, 0
15:11:26.651:   Medium
15:11:27.743:   [78, 0, 82],1, 1
15:11:29.743:   [78, 1, 82],1, 0
15:11:31.744:   [78, 2, 82],1, 0
15:11:33.744:   [78, 2, 83],2, 0
15:11:35.744:   [79, 2, 83],0, 0
15:11:37.744:   [80, 2, 83],0, 0
15:11:39.744:   [81, 2, 83],0, 0
15:11:41.744:   [81, 3, 83],1, 0
15:11:42.571:   Medium
15:11:43.744:   [81, 0, 83],1, -1
15:11:45.744:   [81, 0, 84],2, 0
15:11:47.744:   [82, 0, 84],0, 0
15:11:49.745:   [83, 0, 84],0, 0
15:11:51.745:   [84, 0, 84],0, 0
15:11:53.745:   [84, 0, 85],2, 0
15:11:55.745:   [84, 1, 85],1, 0
15:11:57.745:   [84, 1, 86],2, 0
15:11:59.745:   [84, 2, 86],1, 0
15:12:01.745:   [84, 2, 87],2, 0
15:12:03.745:   [84, 3, 87],1, 0
15:12:05.745:   [84, 3, 88],2, 0
15:12:07.746:   [84, 4, 88],1, 0
15:12:09.746:   [84, 4, 89],2, 0
15:12:11.746:   [85, 4, 89],0, 0
15:12:13.746:   [85, 4, 90],2, 0
15:12:14.539:   Medium
15:12:15.746:   [85, 0, 90],1, 1
15:12:17.746:   [86, 0, 90],0, 0
15:12:19.746:   [86, 0, 91],2, 0
15:12:21.746:   [86, 0, 92],2, 0
15:12:23.747:   [86, 1, 92],1, 0
15:12:25.747:   [86, 2, 92],1, 0
15:12:27.747:   [86, 3, 92],1, 0
15:12:29.747:   [86, 3, 93],2, 0
15:12:31.747:   [87, 3, 93],0, 0
15:12:33.747:   [88, 3, 93],0, 0
15:12:35.747:   [89, 3, 93],0, 0
15:12:37.747:   [90, 3, 93],0, 0
15:12:39.747:   [90, 4, 93],1, 0
15:12:41.748:   [91, 4, 93],0, 0
15:12:43.748:   [91, 4, 94],2, 0
15:12:45.748:   [92, 4, 94],0, 0
15:12:46.694:   Medium
15:12:47.748:   [92, 0, 94],1, 1
15:12:49.748:   [92, 0, 95],2, 0
15:12:51.748:   [92, 0, 96],2, 0
15:12:53.748:   [92, 0, 97],2, 0
15:12:55.748:   [93, 0, 97],0, 0
15:12:57.748:   [94, 0, 97],0, 0
15:12:59.749:   [95, 0, 97],0, 0
15:13:01.749:   [96, 0, 97],0, 0
15:13:03.749:   [97, 0, 97],0, 0
15:13:05.749:   [97, 1, 97],1, 0
15:13:07.749:   [97, 1, 98],2, 0
15:13:09.749:   [97, 2, 98],1, 0
15:13:11.749:   [97, 2, 99],2, 0
15:13:13.749:   [97, 2, 100],2, 0
15:13:15.750:   [98, 2, 100],0, 0
15:13:17.750:   [98, 2, 101],2, 0
15:13:19.750:   [98, 2, 102],2, 0
15:13:21.750:   [98, 2, 103],2, 0
15:13:23.750:   [98, 3, 103],1, 0
15:13:25.750:   [98, 3, 104],2, 0
15:13:27.750:   [98, 3, 105],2, 0
15:13:29.750:   [99, 3, 105],0, 0
15:13:31.750:   [99, 4, 105],1, 0
15:13:32.675:   Medium
15:13:33.751:   [99, 0, 105],1, 1
15:13:35.751:   [99, 0, 106],2, 0
15:13:37.751:   [99, 0, 107],2, 0
15:13:39.751:   [99, 1, 107],1, 0
15:13:41.751:   [99, 2, 107],1, 0
15:13:43.751:   [99, 3, 107],1, 0
15:13:45.751:   [99, 4, 107],1, 0
15:13:46.675:   Medium
15:13:47.751:   [99, 0, 107],1, 1
15:13:49.751:   [99, 1, 107],1, 0
15:13:51.752:   [99, 2, 107],1, 0
15:13:53.752:   [99, 2, 108],2, 0
15:13:55.752:   [100, 2, 108],0, 0
15:13:57.752:   [100, 3, 108],1, 0
15:13:59.752:   [101, 3, 108],0, 0
15:14:01.752:   [102, 3, 108],0, 0
15:14:03.752:   [102, 4, 108],1, 0
15:14:05.752:   [103, 4, 108],0, 0
Tone 1 count: 103
Tone 2 count: 89
Tone 3 count: 108
Correct: 15; False Positive: 3
